City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
188,ribeira grande,38.5167,-28.7,286.36,65,55,3.13,PT,1675832578
189,galle,6.0367,80.217,300.57,76,95,0.29,LK,1675832579
190,sur,22.5667,59.5289,299.34,43,65,1.84,OM,1675832579
191,mahebourg,-20.4081,57.7,301.31,74,75,6.69,MU,1675832579
192,half moon bay,37.4636,-122.4286,285.55,76,20,3.09,US,1675832336
193,arshan,46.2732,44.22,264.36,92,100,10.0,RU,1675832580
194,hailey,43.5196,-114.3153,270.07,79,100,2.57,US,1675832580
195,ahipara,-35.1667,173.1667,294.61,63,23,3.63,NZ,1675832581
196,sarai,53.7458,41.0213,258.65,99,77,1.42,RU,1675832581
197,kelvington,52.1667,-103.5343,261.81,100,57,0.83,CA,1675832582
198,vila velha,-20.3297,-40.2925,298.68,91,40,0.0,BR,1675832583
199,hasaki,35.7333,140.8333,285.49,67,100,8.39,JP,1675832584
200,codrington,-38.2667,141.9667,291.91,62,51,6.24,AU,1675832584
201,sibu,2.3,111.8167,303.32,74,40,1.03,MY,1675832585
202,pangody,65.85,74.4859,254.8,91,89,6.69,RU,1675832586
203,clonakilty,51.6231,-8.8706,277.71,86,83,5.16,IE,1675832587
204,aitape,-3.1374,142.3475,298.42,94,100,5.04,PG,1675832591
205,aykhal,66.0,111.5,239.1,99,49,0.77,RU,1675832592
206,camana,-16.6228,-72.7111,296.99,85,75,3.38,PE,1675832593
207,male,4.1748,73.5089,303.12,70,75,3.6,MV,1675832593
208,calamar,10.2511,-74.9146,297.87,79,7,2.08,CO,1675832594
209,sembakung,3.8167,117.25,295.72,98,100,0.48,ID,1675832594
210,bredasdorp,-34.5322,20.0403,292.28,78,5,3.57,ZA,1675832594
211,viedma,-40.8135,-62.9967,292.28,62,34,4.44,AR,1675832596
212,praia,14.9215,-23.5087,292.45,63,75,10.29,CV,1675832597
213,nikolskoye,59.7035,30.7861,272.09,87,100,4.1,RU,1675832598
214,tokonou,9.65,-9.7833,296.91,59,59,2.45,GN,1675832599
215,airai,-8.9266,125.4092,294.03,81,82,1.76,TL,1675832600
216,manokwari,-0.8667,134.0833,299.93,81,100,2.29,ID,1675832601
217,saquena,-4.6667,-73.5167,294.76,98,36,0.61,PE,1675832602
218,port macquarie,-31.4333,152.9167,298.65,60,63,4.48,AU,1675832602
219,biskamzha,53.4497,89.5272,266.98,90,99,1.69,RU,1675832603
220,broken hill,-31.95,141.4333,305.11,13,0,5.46,AU,1675832305
221,alexandria,31.2156,29.9553,281.45,63,100,6.83,EG,1675832604
222,san jose,37.3394,-121.895,284.82,74,0,2.06,US,1675832391
223,hualmay,-11.0964,-77.6139,295.42,87,26,2.81,PE,1675832605
224,weinan,34.5036,109.5089,283.18,53,100,2.64,CN,1675832606
225,mantua,45.1667,10.7833,272.58,71,0,1.34,IT,1675832606
226,larsnes,62.2028,5.5773,281.48,75,98,8.34,NO,1675832607
227,beian,63.6559,9.5683,276.2,81,0,8.23,NO,1675832607
228,wahpeton,46.2652,-96.6059,269.23,93,0,3.09,US,1675832608
229,bonavista,48.6499,-53.1147,270.3,71,95,10.09,CA,1675832608
230,harper,4.375,-7.7169,298.99,84,93,3.05,LR,1675832609
231,ullapool,57.8987,-5.1604,280.01,77,100,6.31,GB,1675832609
232,portland,45.5234,-122.6762,280.26,90,13,2.68,US,1675832397
233,veraval,20.9,70.3667,299.34,43,6,3.6,IN,1675832610
234,waycross,31.2136,-82.354,286.29,99,0,0.0,US,1675832610
235,isangel,-19.55,169.2667,300.33,78,96,1.87,VU,1675832611
236,sakakah,29.9697,40.2064,280.91,52,37,7.33,SA,1675832612
237,estevan,49.1334,-102.9842,274.34,86,75,5.14,CA,1675832512
238,rocha,-34.4833,-54.3333,294.14,76,50,3.32,UY,1675832613
239,asau,46.4333,26.4,266.66,96,99,2.29,RO,1675832613
240,hambantota,6.1241,81.1185,302.34,79,20,5.66,LK,1675832614
241,constitucion,-35.3333,-72.4167,289.13,63,0,3.68,CL,1675832614
242,pangkalanbuun,-2.6833,111.6167,306.13,48,93,1.92,ID,1675832614
243,dali,25.7,100.1833,287.7,28,0,3.59,CN,1675832615
244,souillac,-20.5167,57.5167,301.36,74,75,6.69,MU,1675832616
245,cayenne,4.9333,-52.3333,297.17,100,75,0.0,GF,1675832617
246,ikongo,-21.8833,47.4333,296.33,82,94,0.42,MG,1675832618
247,dongsheng,39.8161,109.9776,271.7,38,100,4.39,CN,1675832618
248,annapolis,38.9785,-76.4922,282.82,85,0,2.57,US,1675832335
249,gurlan,41.8447,60.3919,275.19,57,100,6.68,UZ,1675832619
250,yuxia,34.0615,108.6291,279.49,69,100,1.56,CN,1675832619
251,oktyabrskoye,43.0645,44.7417,265.77,91,100,1.96,RU,1675832619
252,bukama,-9.2,25.85,292.86,98,100,0.69,CD,1675832620
253,verkhnetulomskiy,68.6073,31.7962,273.22,93,15,2.51,RU,1675832621
254,sibolga,1.7427,98.7792,302.48,55,100,1.34,ID,1675832621
255,kalemie,-5.9475,29.1947,293.7,81,100,2.38,CD,1675832621
256,bambous virieux,-20.3428,57.7575,301.29,74,75,6.69,MU,1675832622
257,ios,36.7333,25.2833,279.1,55,95,6.26,GR,1675832622
258,sala consilina,40.3912,15.5989,269.86,88,42,2.7,IT,1675832623
259,mier,26.4333,-99.15,295.47,81,83,6.38,MX,1675832623
260,comodoro rivadavia,-45.8667,-67.5,289.07,44,0,2.06,AR,1675832477
261,marrakesh,31.6315,-8.0083,282.19,76,40,2.57,MA,1675832375
262,trairi,-3.2778,-39.2689,298.15,81,100,3.39,BR,1675832417
263,sitka,57.0531,-135.33,275.09,80,100,1.54,US,1675832624
264,kalmar,56.6616,16.3616,275.45,97,100,3.09,SE,1675832624
265,urumqi,43.801,87.6005,264.68,93,75,2.0,CN,1675831801
266,morehead,37.2711,-87.1764,284.26,87,100,1.54,US,1675832625
267,mareeba,-17.0,145.4333,304.51,72,93,2.45,AU,1675832625
268,emirdag,39.0197,31.15,266.01,94,89,3.61,TR,1675832626
269,khatanga,71.9667,102.5,229.89,100,62,1.44,RU,1675832626
270,eyl,7.9803,49.8164,298.74,67,100,6.45,SO,1675832626
